"team","x","y","segment"
"angels",147.568125776129,179.161874223871,"infield_inner"
"angels",144.993615459429,181.736384540571,"infield_inner"
"angels",142.41910514273,184.31089485727,"infield_inner"
"angels",139.844594826031,186.885405173969,"infield_inner"
"angels",137.270084509332,189.459915490668,"infield_inner"
"angels",134.695574192633,192.034425807367,"infield_inner"
"angels",132.121063875934,194.608936124066,"infield_inner"
"angels",129.546553559235,197.183446440765,"infield_inner"
"angels",126.272868660894,198.07,"infield_inner"
"angels",122.631961254549,198.07,"infield_inner"
"angels",119.772770077443,196.182770077443,"infield_inner"
"angels",117.198259760744,193.608259760744,"infield_inner"
"angels",114.623749444045,191.033749444045,"infield_inner"
"angels",112.049239127346,188.459239127346,"infield_inner"
"angels",109.474728810647,185.884728810647,"infield_inner"
"angels",106.900218493947,183.310218493947,"infield_inner"
"angels",104.325708177248,180.735708177248,"infield_inner"
"angels",101.751197860549,178.161197860549,"infield_inner"
"angels",104.30331245615,175.58668754385,"infield_inner"
"angels",105.906935411424,173.070258076642,"infield_inner"
"angels",106.12437428512,169.38562571488,"infield_inner"
"angels",108.698884601819,166.811115398181,"infield_inner"
"angels",111.273394918518,164.236605081482,"infield_inner"
"angels",113.847905235217,161.662094764783,"infield_inner"
"angels",116.422415551916,159.087584448084,"infield_inner"
"angels",118.996925868615,156.513074131385,"infield_inner"
"angels",121.571436185314,153.938563814686,"infield_inner"
"angels",125.109385088502,153.69,"infield_inner"
"angels",128.531671745391,154.219399643915,"infield_inner"
"angels",131.111689017098,156.788391200785,"infield_inner"
"angels",133.691706288805,159.357382757656,"infield_inner"
"angels",136.271723560512,161.926374314527,"infield_inner"
"angels",138.851740832219,164.495365871398,"infield_inner"
"angels",141.431758103926,167.064357428269,"infield_inner"
"angels",144.011775375634,169.633348985139,"infield_inner"
"angels",143.578281723859,172.830949813301,"infield_inner"
"angels",145.781670953909,175.79932321811,"infield_inner"
"angels",147.568125776129,179.161874223871,"infield_inner"
"angels",133.2,138.54,"infield_outer"
"angels",126.988681854985,137.267657148075,"infield_outer"
"angels",121.314006814027,136.902376765442,"infield_outer"
"angels",116.154979417385,137.338309688058,"infield_outer"
"angels",111.490604205315,138.469606751878,"infield_outer"
"angels",107.299885718076,140.190418792859,"infield_outer"
"angels",103.561828495924,142.394896646955,"infield_outer"
"angels",100.255437079117,144.977191150123,"infield_outer"
"angels",97.359716007913,147.831453138319,"infield_outer"
"angels",94.853669822569,150.851833447498,"infield_outer"
"angels",92.7163030633427,153.932482913617,"infield_outer"
"angels",90.9266202704915,156.96755237263,"infield_outer"
"angels",89.4636259842729,159.851192660495,"infield_outer"
"angels",88.3063247449444,162.477554613166,"infield_outer"
"angels",87.4337210927634,164.7407890666,"infield_outer"
"angels",86.8248195679875,166.535046856752,"infield_outer"
"angels",86.4586247108742,167.754478819579,"infield_outer"
"angels",86.3141410616808,168.293235791035,"infield_outer"
"angels",88.3577715760029,170.357771576003,"infield_outer"
"angels",90.9322818927021,172.932281892702,"infield_outer"
"angels",93.5067922094012,175.506792209401,"infield_outer"
"angels",96.0813025261003,178.0813025261,"infield_outer"
"angels",98.6558128427994,180.655812842799,"infield_outer"
"angels",101.230323159499,180.650323159499,"infield_outer"
"angels",103.804833476198,183.224833476198,"infield_outer"
"angels",106.379343792897,185.799343792897,"infield_outer"
"angels",108.953854109596,188.373854109596,"infield_outer"
"angels",111.528364426295,190.948364426295,"infield_outer"
"angels",114.102874742994,193.522874742994,"infield_outer"
"angels",116.677385059693,196.097385059693,"infield_outer"
"angels",119.251895376392,198.671895376392,"infield_outer"
"angels",119.793444648469,201.810922310493,"infield_outer"
"angels",120.831249076598,205.232250913447,"infield_outer"
"angels",123.747922203178,207.299990092629,"infield_outer"
"angels",127.31990102033,207.146710053958,"infield_outer"
"angels",130.048717596983,204.836712752785,"infield_outer"
"angels",130.789615947951,201.339056812878,"infield_outer"
"angels",130.972990289847,198.227009710153,"infield_outer"
"angels",133.547500606546,195.652499393454,"infield_outer"
"angels",136.122010923245,193.077989076755,"infield_outer"
"angels",138.696521239944,190.503478760056,"infield_outer"
"angels",141.271031556643,187.928968443357,"infield_outer"
"angels",143.845541873342,185.354458126658,"infield_outer"
"angels",146.420052190041,182.779947809959,"infield_outer"
"angels",148.994562506741,180.205437493259,"infield_outer"
"angels",151.567102467524,179.628960777973,"infield_outer"
"angels",154.13643165621,177.049279739212,"infield_outer"
"angels",156.705760844897,174.46959870045,"infield_outer"
"angels",159.275090033583,171.889917661689,"infield_outer"
"angels",161.844419222269,169.310236622927,"infield_outer"
"angels",162.986709015255,167.228677734558,"infield_outer"
"angels",162.812988980347,166.645986785369,"infield_outer"
"angels",162.405405731572,165.289600045509,"infield_outer"
"angels",161.699037527323,163.290708363662,"infield_outer"
"angels",160.628962625994,160.780502588512,"infield_outer"
"angels",159.13025928598,157.890173568745,"infield_outer"
"angels",157.138005765675,154.750912153046,"infield_outer"
"angels",154.587280323473,151.493909190098,"infield_outer"
"angels",151.413161217767,148.250355528588,"infield_outer"
"angels",147.550726706953,145.151442017199,"infield_outer"
"angels",142.935055049424,142.328359504617,"infield_outer"
"angels",137.501224503574,139.912298839526,"infield_outer"
"angels",133.2,138.54,"infield_outer"
"astros",130.420520200682,156.066080195775,"infield_inner"
"astros",132.990908148271,158.573614384027,"infield_inner"
"astros",135.561296095859,161.08114857228,"infield_inner"
"astros",138.131684043448,163.588682760532,"infield_inner"
"astros",140.702071991036,166.096216948785,"infield_inner"
"astros",143.272459938625,168.603751137037,"infield_inner"
